fold_change	p_value
1552502_s_at	0.261932642422031	0.509148310960669
1552503_at	-0.0786720416334212	1
1552504_a_at	-0.366574337050713	0.000690952778270616
1552506_at	-0.283407089032331	2.37040902163297e-06
1552507_at	0.628122725420679	0.00448144851278128
1552508_at	0.904002400958598	0.000137732213624515
1552509_a_at	-0.411904671298777	0.38706717411014
1552510_at	-0.750070676799628	7.85031164120294e-11
1552511_a_at	0.25615362828567	0.0158325835867026
1552514_at	-0.0959729471980708	1
1552515_at	0.0841415699674215	1
1552516_a_at	0.0553770849814414	1
1552518_s_at	0.106014602751378	1
1552519_at	-0.645634458003884	0.0083125031820344
1552520_at	-0.129515709875561	0.067492049233023
1552521_a_at	-0.0657899067811289	1
1552522_at	-0.127800137064891	0.104214588966975
1552523_a_at	-0.00622076865556487	1
1552524_at	-0.0201446345005101	1
1552526_at	-0.0440339710629449	1
1552528_at	-0.111011713749827	1
1552531_a_at	0.308679894685115	1
1552532_a_at	-1.85343903682712	7.17569962857605e-11
1552535_at	-0.985569821678517	2.95002064785458e-12
1552536_at	0.0603538952081797	1
1552538_a_at	-0.0822070664044916	1
1552540_s_at	-0.276143933699086	0.0180941758243165
1552541_at	0.0613042649817732	1
1552542_s_at	0.562640916717906	1.35901658628942e-06
1552543_a_at	-0.0691050403894624	1
1552544_at	-0.141135487102758	1
1552546_a_at	0.0606752543770996	1
1552548_at	-0.589271878785917	4.49091891303019e-07
1552549_a_at	-0.998913016301076	1.46219652046608e-10
1552552_s_at	-0.0398105978074574	1
1552553_a_at	0.960873977097814	1.05909179938614e-10
1552554_a_at	0.0963587941932951	1
1552555_at	0.153919565100005	0.647860970991323
1552557_a_at	-0.519224851924637	2.79785984119829e-05
1552558_a_at	-0.0542442441673998	1
1552559_a_at	-0.0791087706066058	1
1552562_at	-0.0638220689259699	1
1552563_a_at	-0.0564542509832568	1
1552564_at	-0.0648216760130214	1
1552566_at	0.292389758330966	0.0633240465136569
1552568_at	-0.132662422431622	1
1552569_a_at	-0.0206178708005753	1
1552570_at	-0.137100855133604	0.023486072101978
1552572_a_at	-0.0371937623190295	1
1552573_s_at	-0.144349526935132	0.768616004315323
1552575_a_at	0.39746519041154	1
1552576_at	-0.0385161492291886	1
1552578_a_at	-1.18832118894718	5.7359292048418e-05
1552579_a_at	0.00930563221924174	1
1552580_at	-0.117335887140024	1
1552582_at	-0.0497990999936206	1
1552583_s_at	-0.0585100964377037	1
1552584_at	1.1043755088003	2.02143151420595e-12
1552585_s_at	0.0443494585281585	1
1552586_at	-0.0277529420392764	1
1552587_at	-0.0661645198388752	1
1552588_a_at	-0.0446086211384142	1
1552590_a_at	-0.128921459927366	0.40573328420577
1552592_at	-0.0670958878762615	1
1552594_at	-0.0843787481741707	1
1552596_at	-0.0973208734630289	1
1552598_at	-0.0720250442839241	1
1552599_at	0.0292695778833849	1
1552602_at	-0.16642084110932	0.311195615011046
1552604_at	-0.156779809377	0.116511479293494
1552605_s_at	-0.105688727084882	1
1552607_at	0.213906881032833	1
1552608_at	-0.00177370822321343	1
